year,value,value_unit,metric,source_name,source_url,notes
2005,7.236804332,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2006,7.284216471,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2007,7.327668228,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2008,7.233459502,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2009,6.970201284,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2010,7.016262477,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2011,7.363124677,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2012,7.385158363,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2013,7.550699909,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2014,7.682647927,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
2015,7.820293252,pounds per person per year (retail equivalent),"ERS per capita coffee availability, retail-equivalent total",USDA ERS Food Availability (Per Capita) Data System,https://www.ers.usda.gov/media/5327/coffee-tea-cocoa-and-spices-availability.csv?v=94105,"USDA ERS food availability is an official supply-based proxy for national-level consumption, not a direct measure of cups drunk or register-level sales. Archived file; last coffee year depends on ERS publication."
