region,code,year,production_tonnes
Africa (FAO),,1984,1036465.0
Africa (FAO),,1985,1181857.0
Africa (FAO),,1986,1274895.0
Africa (FAO),,1987,1235947.0
Africa (FAO),,1988,1218793.0
Africa (FAO),,1989,1256511.0
Africa (FAO),,1990,1254209.0
Africa (FAO),,1991,1192323.0
Africa (FAO),,1992,1156200.0
Africa (FAO),,1993,991822.56
Africa (FAO),,1994,1058407.9
Africa (FAO),,1995,1127035.5
Africa (FAO),,1996,1254436.2
Africa (FAO),,1997,1176346.1
Africa (FAO),,1998,1219222.2
Africa (FAO),,1999,1254014.6
Africa (FAO),,2000,1277578.2
Africa (FAO),,2001,1121398.8
Africa (FAO),,2002,1097192.8
Africa (FAO),,2003,811628.4
Africa (FAO),,2004,1064072.8
Africa (FAO),,2005,986411.9
Africa (FAO),,2006,1061882.8
Africa (FAO),,2007,998151.2
Africa (FAO),,2008,1079877.6
Africa (FAO),,2009,1002789.75
Africa (FAO),,2010,1086196.2
Africa (FAO),,2011,1053917.8
Africa (FAO),,2012,1150397.0
Africa (FAO),,2013,1105640.8
Africa (FAO),,2014,1154435.9
Africa (FAO),,2015,1381548.5
Africa (FAO),,2016,1402423.5
Africa (FAO),,2017,1451777.6
Africa (FAO),,2018,1660516.1
Africa (FAO),,2019,1813980.1
Africa (FAO),,2020,1883187.6
Africa (FAO),,2021,1966350.6
Africa (FAO),,2022,2065840.8
Africa (FAO),,2023,1943557.1
Africa (FAO),,2024,1909981.5
Americas (FAO),,1961,3450946.0
Americas (FAO),,1962,3474586.0
Americas (FAO),,1963,2891256.0
Americas (FAO),,1964,2337445.0
Americas (FAO),,1965,3620044.0
Americas (FAO),,1966,2557166.0
Americas (FAO),,1967,2910826.0
Americas (FAO),,1968,2443850.0
Americas (FAO),,1969,2663590.0
Americas (FAO),,1970,2190997.0
Americas (FAO),,1971,2989531.0
Americas (FAO),,1972,2907067.0
Americas (FAO),,1973,2438003.0
Americas (FAO),,1974,3136378.0
Americas (FAO),,1975,2854435.0
Americas (FAO),,1976,1905543.0
Americas (FAO),,1977,2673232.0
Americas (FAO),,1978,3096048.0
Americas (FAO),,1979,3261343.0
Americas (FAO),,1980,2987143.0
Americas (FAO),,1981,4094151.0
Americas (FAO),,1982,3014170.0
Americas (FAO),,1983,3752510.0
Americas (FAO),,1984,3528917.0
Americas (FAO),,1985,3857266.0
Americas (FAO),,1986,3193538.0
Americas (FAO),,1987,4266338.0
Americas (FAO),,1988,3582576.0
Americas (FAO),,1989,3669875.0
Americas (FAO),,1990,3883989.0
Americas (FAO),,1991,3909803.0
Americas (FAO),,1992,3890575.0
Americas (FAO),,1993,3516330.0
Americas (FAO),,1994,3503408.0
Americas (FAO),,1995,3217473.2
Americas (FAO),,1996,3652299.0
Americas (FAO),,1997,3505525.5
Americas (FAO),,1998,3910577.8
Americas (FAO),,1999,3854455.0
Americas (FAO),,2000,4188908.8
Americas (FAO),,2001,4165133.2
Americas (FAO),,2002,4793794.5
Americas (FAO),,2003,4138067.0
Americas (FAO),,2004,4622145.0
Americas (FAO),,2005,4292591.5
Americas (FAO),,2006,4818187.5
Americas (FAO),,2007,4583816.5
Americas (FAO),,2008,5043730.0
Americas (FAO),,2009,4384681.5
Americas (FAO),,2010,4942636.5
Americas (FAO),,2011,4774524.0
Americas (FAO),,2012,5154999.5
Americas (FAO),,2013,4984020.0
Americas (FAO),,2014,4829105.5
Americas (FAO),,2015,4806984.0
Americas (FAO),,2016,5249792.0
Americas (FAO),,2017,5118902.5
Americas (FAO),,2018,6024632.0
Americas (FAO),,2019,5519472.5
Americas (FAO),,2020,6083770.5
Americas (FAO),,2021,5165406.0
Americas (FAO),,2022,5387947.0
Americas (FAO),,2023,5591925.0
Americas (FAO),,2024,5713503.5
Angola,AGO,1961,168600.0
Angola,AGO,1962,185000.0
Angola,AGO,1963,168300.0
Angola,AGO,1964,198200.0
Angola,AGO,1965,205000.0
Angola,AGO,1966,225700.0
Angola,AGO,1967,235200.0
Angola,AGO,1968,198000.0
Angola,AGO,1969,215000.0
Angola,AGO,1970,204000.0
Angola,AGO,1971,228000.0
Angola,AGO,1972,225000.0
Angola,AGO,1973,210000.0
Angola,AGO,1974,224772.0
Angola,AGO,1975,180000.0
Angola,AGO,1976,57480.0
Angola,AGO,1977,57060.0
Angola,AGO,1978,34320.0
Angola,AGO,1979,17340.0
Angola,AGO,1980,43260.0
Angola,AGO,1981,20640.0
Angola,AGO,1982,17400.0
Angola,AGO,1983,13000.0
Angola,AGO,1984,15000.0
Angola,AGO,1985,12000.0
Angola,AGO,1986,14800.0
Angola,AGO,1987,8700.0
Angola,AGO,1988,11000.0
Angola,AGO,1989,10000.0
Angola,AGO,1990,5000.0
Angola,AGO,1991,5000.0
Angola,AGO,1992,5000.0
Angola,AGO,1993,4620.0
Angola,AGO,1994,2160.0
Angola,AGO,1995,3300.0
Angola,AGO,1996,2820.0
Angola,AGO,1997,3840.0
Angola,AGO,1998,5100.0
Angola,AGO,1999,3300.0
Angola,AGO,2000,4260.0
Angola,AGO,2001,3300.0
Angola,AGO,2002,1260.0
Angola,AGO,2003,2040.0
Angola,AGO,2004,1980.0
Angola,AGO,2005,3500.0
Angola,AGO,2006,5000.0
Angola,AGO,2007,11523.0
Angola,AGO,2008,4000.0
Angola,AGO,2009,11982.0
Angola,AGO,2010,9951.0
Angola,AGO,2011,10192.0
Angola,AGO,2012,11740.03
Angola,AGO,2013,12550.0
Angola,AGO,2014,15009.0
Angola,AGO,2015,15000.0
Angola,AGO,2016,14679.61
Angola,AGO,2017,13542.99
Angola,AGO,2018,13228.18
Angola,AGO,2019,13256.51
Angola,AGO,2020,11652.14
Angola,AGO,2021,10304.0
Angola,AGO,2022,5206.0
Angola,AGO,2023,6229.0
Angola,AGO,2024,7584.0
Asia,OWID_ASI,1961,200714.0
Asia,OWID_ASI,1962,219396.0
Asia,OWID_ASI,1963,256183.0
Asia,OWID_ASI,1964,259422.0
Asia,OWID_ASI,1965,274510.0
Asia,OWID_ASI,1966,281472.0
Asia,OWID_ASI,1967,318436.0
Asia,OWID_ASI,1968,292682.0
Asia,OWID_ASI,1969,331704.0
Asia,OWID_ASI,1970,334964.0
Asia,OWID_ASI,1971,379074.0
Asia,OWID_ASI,1972,336959.0
Asia,OWID_ASI,1973,331692.0
Asia,OWID_ASI,1974,331901.0
Asia,OWID_ASI,1975,397476.0
Asia,OWID_ASI,1976,410280.0
Asia,OWID_ASI,1977,451855.0
Asia,OWID_ASI,1978,518792.0
Asia,OWID_ASI,1979,550496.0
Asia,OWID_ASI,1980,632728.0
Asia,OWID_ASI,1981,645359.0
Asia,OWID_ASI,1982,678251.0
Asia,OWID_ASI,1983,659572.0
Asia,OWID_ASI,1984,611961.0
Asia,OWID_ASI,1985,728453.0
Asia,OWID_ASI,1986,723857.0
Asia,OWID_ASI,1987,819779.0
Asia,OWID_ASI,1988,781885.0
Asia,OWID_ASI,1989,915561.0
Asia,OWID_ASI,1990,863875.0
Asia,OWID_ASI,1991,913066.25
Asia,OWID_ASI,1992,988734.0
Asia,OWID_ASI,1993,982946.06
Asia,OWID_ASI,1994,1093630.0
Asia,OWID_ASI,1995,1124934.0
Asia,OWID_ASI,1996,1225733.0
Asia,OWID_ASI,1997,1325602.0
Asia,OWID_ASI,1998,1421774.0
Asia,OWID_ASI,1999,1599114.0
Asia,OWID_ASI,2000,1949181.0
Asia,OWID_ASI,2001,2029551.0
Asia,OWID_ASI,2002,1972317.1
Asia,OWID_ASI,2003,2020006.0
Asia,OWID_ASI,2004,2116732.0
Asia,OWID_ASI,2005,2036915.6
Asia,OWID_ASI,2006,2219260.0
Asia,OWID_ASI,2007,2494485.0
Asia,OWID_ASI,2008,2304398.0
Asia,OWID_ASI,2009,2330024.5
Asia,OWID_ASI,2010,2379412.2
Asia,OWID_ASI,2011,2521749.8
Asia,OWID_ASI,2012,2623674.0
Asia,OWID_ASI,2013,2699674.0
Asia,OWID_ASI,2014,2759619.5
Asia,OWID_ASI,2015,2813389.5
Asia,OWID_ASI,2016,2844287.2
Asia,OWID_ASI,2017,2971828.8
Asia,OWID_ASI,2018,3089587.8
Asia,OWID_ASI,2019,3182731.5
Asia,OWID_ASI,2020,3231200.8
Asia,OWID_ASI,2021,3392001.2
Asia,OWID_ASI,2022,3493100.8
Asia,OWID_ASI,2023,3498487.5
Asia,OWID_ASI,2024,3610914.5
Asia (FAO),,1961,200714.0
Asia (FAO),,1962,219396.0
Asia (FAO),,1963,256183.0
Asia (FAO),,1964,259422.0
Asia (FAO),,1965,274510.0
Asia (FAO),,1966,281472.0
Asia (FAO),,1967,318436.0
Asia (FAO),,1968,292682.0
Asia (FAO),,1969,331704.0
Asia (FAO),,1970,334964.0
Asia (FAO),,1971,379074.0
Asia (FAO),,1972,336959.0
Asia (FAO),,1973,331692.0
Asia (FAO),,1974,331901.0
Asia (FAO),,1975,397476.0
Asia (FAO),,1976,410280.0
Asia (FAO),,1977,451855.0
Asia (FAO),,1978,518792.0
Asia (FAO),,1979,550496.0
Asia (FAO),,1980,632728.0
Asia (FAO),,1981,645359.0
Asia (FAO),,1982,678251.0
Asia (FAO),,1983,659572.0
Asia (FAO),,1984,611961.0
Asia (FAO),,1985,728453.0
Asia (FAO),,1986,723857.0
Asia (FAO),,1987,819779.0
Asia (FAO),,1988,781885.0
Asia (FAO),,1989,915561.0
Asia (FAO),,1990,863875.0
Asia (FAO),,1991,913066.25
Asia (FAO),,1992,988734.0
Asia (FAO),,1993,982946.06
Asia (FAO),,1994,1093630.0
Asia (FAO),,1995,1124934.0
Asia (FAO),,1996,1225733.0
Asia (FAO),,1997,1325602.0
Asia (FAO),,1998,1421774.0
Asia (FAO),,1999,1599114.0
Asia (FAO),,2000,1949181.0
Asia (FAO),,2001,2029551.0
Asia (FAO),,2002,1972317.1
Asia (FAO),,2003,2020006.0
Asia (FAO),,2004,2116732.0
Asia (FAO),,2005,2036915.6
Asia (FAO),,2006,2219260.0
Asia (FAO),,2007,2494485.0
Asia (FAO),,2008,2304398.0
Asia (FAO),,2009,2330024.5
Asia (FAO),,2010,2379412.2
Asia (FAO),,2011,2521749.8
Asia (FAO),,2012,2623674.0
Asia (FAO),,2013,2699674.0
Asia (FAO),,2014,2759619.5
Asia (FAO),,2015,2813389.5
Asia (FAO),,2016,2844287.2
Asia (FAO),,2017,2971828.8
Asia (FAO),,2018,3089587.8
Asia (FAO),,2019,3182731.5
Asia (FAO),,2020,3231200.8
Asia (FAO),,2021,3392001.2
Asia (FAO),,2022,3493101.0
Asia (FAO),,2023,3498487.5
Asia (FAO),,2024,3610914.5
Belize,BLZ,1998,93.0
Belize,BLZ,1999,70.0
Belize,BLZ,2000,165.0
Belize,BLZ,2001,229.0
Belize,BLZ,2002,227.0
Belize,BLZ,2003,229.0
Belize,BLZ,2004,231.0
Belize,BLZ,2005,54.0
Belize,BLZ,2006,95.0
Belize,BLZ,2007,45.0
Belize,BLZ,2008,90.0
Belize,BLZ,2009,105.19
Belize,BLZ,2010,90.46
Belize,BLZ,2011,90.68
Belize,BLZ,2012,88.98
Belize,BLZ,2013,87.27
Belize,BLZ,2014,87.54
Belize,BLZ,2015,91.22
Belize,BLZ,2016,89.13
Belize,BLZ,2017,89.3
Belize,BLZ,2018,89.88
Belize,BLZ,2019,89.44
Belize,BLZ,2020,89.54
Belize,BLZ,2021,89.62
Belize,BLZ,2022,89.53
Belize,BLZ,2023,89.56
Belize,BLZ,2024,89.57
Benin,BEN,1961,2090.0
Benin,BEN,1962,1730.0
Benin,BEN,1963,1002.0
Benin,BEN,1964,1065.0
Benin,BEN,1965,891.0
Benin,BEN,1966,1041.0
Benin,BEN,1967,1086.0
Benin,BEN,1968,511.0
Benin,BEN,1969,2268.0
Benin,BEN,1970,1940.0
Benin,BEN,1971,2229.0
Benin,BEN,1972,2724.0
Benin,BEN,1973,1341.0
Benin,BEN,1974,161.0
Benin,BEN,1975,477.0
Benin,BEN,1976,599.0
Benin,BEN,1977,610.0
Benin,BEN,1978,185.0
Benin,BEN,1979,31.0
Benin,BEN,1980,321.0
Benin,BEN,1981,585.0
Benin,BEN,1982,1629.0
Benin,BEN,1983,1000.0
Benin,BEN,1984,3000.0
Benin,BEN,1985,700.0
Benin,BEN,1986,1100.0
Benin,BEN,1987,1900.0
Benin,BEN,1988,2700.0
Benin,BEN,1989,800.0
Benin,BEN,1990,120.0
Benin,BEN,1991,180.0
Benin,BEN,1992,200.0
Benin,BEN,1993,300.0
Benin,BEN,1994,200.0
Benin,BEN,1995,174.67
Benin,BEN,1996,165.26
Benin,BEN,1997,160.65
Benin,BEN,1998,153.89
Benin,BEN,1999,150.68
Benin,BEN,2000,142.51
Benin,BEN,2001,150.0
Benin,BEN,2002,100.0
Benin,BEN,2003,60.0
Benin,BEN,2004,85.77
Benin,BEN,2005,82.25
Benin,BEN,2006,60.0
Benin,BEN,2007,60.0
Benin,BEN,2008,70.43
Benin,BEN,2009,67.34
Benin,BEN,2010,60.0
Benin,BEN,2011,65.0
Benin,BEN,2012,68.0
Benin,BEN,2013,70.0
Benin,BEN,2014,57.3
Benin,BEN,2015,48.76
Benin,BEN,2016,58.69
Benin,BEN,2017,54.91
Benin,BEN,2018,54.12
Benin,BEN,2019,55.91
Benin,BEN,2020,54.98
Benin,BEN,2021,55.0
Benin,BEN,2022,55.3
Benin,BEN,2023,55.09
Benin,BEN,2024,55.13
Bolivia,BOL,1961,4400.0
Bolivia,BOL,1962,4400.0
Bolivia,BOL,1963,4400.0
Bolivia,BOL,1964,7400.0
Bolivia,BOL,1965,4700.0
Bolivia,BOL,1966,7700.0
Bolivia,BOL,1967,8200.0
Bolivia,BOL,1968,9500.0
Bolivia,BOL,1969,10100.0
Bolivia,BOL,1970,11200.0
Bolivia,BOL,1971,12400.0
Bolivia,BOL,1972,13000.0
Bolivia,BOL,1973,13400.0
Bolivia,BOL,1974,13870.0
Bolivia,BOL,1975,14900.0
Bolivia,BOL,1976,14664.0
Bolivia,BOL,1977,13372.0
Bolivia,BOL,1978,13424.0
Bolivia,BOL,1979,15700.0
Bolivia,BOL,1980,20540.0
Bolivia,BOL,1981,21325.0
Bolivia,BOL,1982,21179.0
Bolivia,BOL,1983,21141.0
Bolivia,BOL,1984,21566.0
Bolivia,BOL,1985,23361.0
Bolivia,BOL,1986,24153.0
Bolivia,BOL,1987,25200.0
Bolivia,BOL,1988,25450.0
Bolivia,BOL,1989,26740.0
Bolivia,BOL,1990,24378.0
Bolivia,BOL,1991,14071.0
Bolivia,BOL,1992,15179.0
Bolivia,BOL,1993,13153.0
Bolivia,BOL,1994,19216.0
Bolivia,BOL,1995,20323.0
Bolivia,BOL,1996,22015.0
Bolivia,BOL,1997,22608.0
Bolivia,BOL,1998,22532.0
Bolivia,BOL,1999,26931.0
Bolivia,BOL,2000,27696.0
Bolivia,BOL,2001,24086.0
Bolivia,BOL,2002,24513.0
Bolivia,BOL,2003,24700.0
Bolivia,BOL,2004,24546.0
Bolivia,BOL,2005,24976.0
Bolivia,BOL,2006,25272.0
Bolivia,BOL,2007,27012.0
Bolivia,BOL,2008,27305.0
Bolivia,BOL,2009,28270.0
Bolivia,BOL,2010,27327.02
Bolivia,BOL,2011,27596.4
Bolivia,BOL,2012,28136.86
Bolivia,BOL,2013,29455.13
Bolivia,BOL,2014,20496.0
Bolivia,BOL,2015,20954.0
Bolivia,BOL,2016,21427.0
Bolivia,BOL,2017,21181.0
Bolivia,BOL,2018,22120.99
Bolivia,BOL,2019,24841.0
Bolivia,BOL,2020,23401.0
Bolivia,BOL,2021,23451.98
Bolivia,BOL,2022,23238.78
Bolivia,BOL,2023,23579.45
Bolivia,BOL,2024,23063.65
Brazil,BRA,1961,2228704.0
Brazil,BRA,1962,2190303.0
Brazil,BRA,1963,1650527.0
Brazil,BRA,1964,1042013.0
Brazil,BRA,1965,2294047.0
Brazil,BRA,1966,1202868.0
Brazil,BRA,1967,1507500.0
Brazil,BRA,1968,1057700.0
Brazil,BRA,1969,1283500.0
Brazil,BRA,1970,754800.0
Brazil,BRA,1971,1551462.0
Brazil,BRA,1972,1495705.0
Brazil,BRA,1973,872897.0
Brazil,BRA,1974,1615309.0
Brazil,BRA,1975,1272298.0
Brazil,BRA,1976,375985.0
Brazil,BRA,1977,975385.0
Brazil,BRA,1978,1267661.0
Brazil,BRA,1979,1332772.0
Brazil,BRA,1980,1061195.0
Brazil,BRA,1981,2032210.0
Brazil,BRA,1982,957931.0
Brazil,BRA,1983,1671588.0
Brazil,BRA,1984,1420281.0
Brazil,BRA,1985,1910646.0
Brazil,BRA,1986,1041406.0
Brazil,BRA,1987,2202708.0
Brazil,BRA,1988,1348014.0
Brazil,BRA,1989,1532335.0
Brazil,BRA,1990,1464856.0
Brazil,BRA,1991,1520382.0
Brazil,BRA,1992,1294373.0
Brazil,BRA,1993,1278759.0
Brazil,BRA,1994,1307289.0
Brazil,BRA,1995,930135.0
Brazil,BRA,1996,1369196.0
Brazil,BRA,1997,1228513.0
Brazil,BRA,1998,1689366.0
Brazil,BRA,1999,1631852.0
Brazil,BRA,2000,1903562.0
Brazil,BRA,2001,1819569.0
Brazil,BRA,2002,2610524.0
Brazil,BRA,2003,1987074.0
Brazil,BRA,2004,2465710.0
Brazil,BRA,2005,2140169.0
Brazil,BRA,2006,2573368.0
Brazil,BRA,2007,2249011.0
Brazil,BRA,2008,2796927.0
Brazil,BRA,2009,2440056.0
Brazil,BRA,2010,2907265.0
Brazil,BRA,2011,2700540.0
Brazil,BRA,2012,3037534.0
Brazil,BRA,2013,2964538.0
Brazil,BRA,2014,2804070.0
Brazil,BRA,2015,2647504.0
Brazil,BRA,2016,3024466.0
Brazil,BRA,2017,2684508.0
Brazil,BRA,2018,3552729.0
Brazil,BRA,2019,3011745.0
Brazil,BRA,2020,3705719.0
Brazil,BRA,2021,2985581.0
Brazil,BRA,2022,3179341.0
Brazil,BRA,2023,3348510.0
Brazil,BRA,2024,3387724.0
Burundi,BDI,1961,14000.0
Burundi,BDI,1962,13001.0
Burundi,BDI,1963,5777.0
Burundi,BDI,1964,17737.0
Burundi,BDI,1965,12831.0
Burundi,BDI,1966,14071.0
Burundi,BDI,1967,18682.0
Burundi,BDI,1968,16539.0
Burundi,BDI,1969,14551.0
Burundi,BDI,1970,22084.0
Burundi,BDI,1971,25051.0
Burundi,BDI,1972,19403.0
Burundi,BDI,1973,21395.0
Burundi,BDI,1974,28140.0
Burundi,BDI,1975,16924.0
Burundi,BDI,1976,21428.0
Burundi,BDI,1977,17030.0
Burundi,BDI,1978,22783.0
Burundi,BDI,1979,27728.0
Burundi,BDI,1980,18894.0
Burundi,BDI,1981,43824.0
Burundi,BDI,1982,20221.0
Burundi,BDI,1983,35954.0
Burundi,BDI,1984,27005.0
Burundi,BDI,1985,32493.0
Burundi,BDI,1986,31290.0
Burundi,BDI,1987,37338.0
Burundi,BDI,1988,35247.0
Burundi,BDI,1989,31400.0
Burundi,BDI,1990,32694.0
Burundi,BDI,1991,34204.0
Burundi,BDI,1992,37215.0
Burundi,BDI,1993,22991.0
Burundi,BDI,1994,41293.0
Burundi,BDI,1995,25516.0
Burundi,BDI,1996,26875.0
Burundi,BDI,1997,19991.0
Burundi,BDI,1998,16937.0
Burundi,BDI,1999,29130.0
Burundi,BDI,2000,67439.0
Burundi,BDI,2001,70980.0
Burundi,BDI,2002,182182.0
Burundi,BDI,2003,35682.0
Burundi,BDI,2004,204509.0
Burundi,BDI,2005,34828.0
Burundi,BDI,2006,149460.0
Burundi,BDI,2007,31964.0
Burundi,BDI,2008,100475.0
Burundi,BDI,2009,20517.0
Burundi,BDI,2010,89960.0
Burundi,BDI,2011,41960.0
Burundi,BDI,2012,26340.0
Burundi,BDI,2013,22625.0
Burundi,BDI,2014,10405.0
Burundi,BDI,2015,18367.0
Burundi,BDI,2016,13624.46
Burundi,BDI,2017,16340.0
Burundi,BDI,2018,14216.0
Burundi,BDI,2019,14059.0
Burundi,BDI,2020,7111.0
Burundi,BDI,2021,13800.0
Burundi,BDI,2022,10500.0
Burundi,BDI,2023,8400.0
Burundi,BDI,2024,6900.0
Cambodia,KHM,1961,240.0
Cambodia,KHM,1962,350.0
Cambodia,KHM,1963,400.0
Cambodia,KHM,1964,350.0
Cambodia,KHM,1965,400.0
Cambodia,KHM,1966,480.0
Cambodia,KHM,1967,433.0
Cambodia,KHM,1968,350.0
Cambodia,KHM,1969,460.0
Cambodia,KHM,1970,600.0
Cambodia,KHM,1971,600.0
Cambodia,KHM,1972,470.0
Cambodia,KHM,1973,124.0
Cambodia,KHM,1974,100.0
Cambodia,KHM,1975,100.0
Cambodia,KHM,1976,90.0
Cambodia,KHM,1977,85.0
Cambodia,KHM,1978,72.0
Cambodia,KHM,1979,50.0
Cambodia,KHM,1980,70.0
Cambodia,KHM,1981,68.0
Cambodia,KHM,1982,70.0
Cambodia,KHM,1983,80.0
Cambodia,KHM,1984,90.0
Cambodia,KHM,1985,100.0
Cambodia,KHM,1986,120.0
Cambodia,KHM,1987,130.0
Cambodia,KHM,1988,140.0
Cambodia,KHM,1989,150.0
Cambodia,KHM,1990,160.0
Cambodia,KHM,1991,170.0
Cambodia,KHM,1992,180.0
Cambodia,KHM,1993,198.08
Cambodia,KHM,1994,190.0
Cambodia,KHM,1995,200.0
Cambodia,KHM,1996,250.0
Cambodia,KHM,1997,280.0
Cambodia,KHM,1998,290.0
Cambodia,KHM,1999,300.0
Cambodia,KHM,2000,300.0
Cambodia,KHM,2001,300.0
Cambodia,KHM,2002,300.17
Cambodia,KHM,2003,305.02
Cambodia,KHM,2004,310.0
Cambodia,KHM,2005,319.57
Cambodia,KHM,2006,300.0
Cambodia,KHM,2007,320.0
Cambodia,KHM,2008,330.0
Cambodia,KHM,2009,350.0
Cambodia,KHM,2010,362.29
Cambodia,KHM,2011,348.8
Cambodia,KHM,2012,350.04
Cambodia,KHM,2013,353.12
Cambodia,KHM,2014,356.58
Cambodia,KHM,2015,369.69
Cambodia,KHM,2016,359.8
Cambodia,KHM,2017,356.64
Cambodia,KHM,2018,356.82
Cambodia,KHM,2019,357.51
Cambodia,KHM,2020,358.97
Cambodia,KHM,2021,362.38
Cambodia,KHM,2022,361.76
Cambodia,KHM,2023,362.22
Cambodia,KHM,2024,362.68
Cameroon,CMR,1961,44700.0
Cameroon,CMR,1962,45000.0
Cameroon,CMR,1963,53600.0
Cameroon,CMR,1964,59100.0
Cameroon,CMR,1965,74100.0
Cameroon,CMR,1966,63300.0
Cameroon,CMR,1967,79600.0
Cameroon,CMR,1968,81700.0
Cameroon,CMR,1969,81815.0
Cameroon,CMR,1970,92993.0
Cameroon,CMR,1971,94790.0
Cameroon,CMR,1972,96165.0
Cameroon,CMR,1973,93913.0
Cameroon,CMR,1974,104442.0
Cameroon,CMR,1975,92488.0
Cameroon,CMR,1976,79599.0
Cameroon,CMR,1977,86448.0
Cameroon,CMR,1978,107993.0
Cameroon,CMR,1979,101166.0
Cameroon,CMR,1980,112207.0
Cameroon,CMR,1981,109286.0
Cameroon,CMR,1982,128237.0
Cameroon,CMR,1983,63700.0
Cameroon,CMR,1984,137900.0
Cameroon,CMR,1985,100020.0
Cameroon,CMR,1986,132000.0
Cameroon,CMR,1987,82560.0
Cameroon,CMR,1988,119400.0
Cameroon,CMR,1989,115700.0
Cameroon,CMR,1990,100980.0
Cameroon,CMR,1991,115080.0
Cameroon,CMR,1992,76200.0
Cameroon,CMR,1993,68417.0
Cameroon,CMR,1994,73743.0
Cameroon,CMR,1995,74000.0
Cameroon,CMR,1996,104121.0
Cameroon,CMR,1997,63600.0
Cameroon,CMR,1998,112532.0
Cameroon,CMR,1999,98000.0
Cameroon,CMR,2000,86200.0
Cameroon,CMR,2001,70500.0
Cameroon,CMR,2002,41000.0
Cameroon,CMR,2003,48000.0
Cameroon,CMR,2004,54000.0
Cameroon,CMR,2005,60000.0
Cameroon,CMR,2006,62300.0
Cameroon,CMR,2007,47792.0
Cameroon,CMR,2008,50687.0
Cameroon,CMR,2009,48123.0
Cameroon,CMR,2010,66584.0
Cameroon,CMR,2011,26322.0
Cameroon,CMR,2012,38127.0
Cameroon,CMR,2013,41800.0
Cameroon,CMR,2014,41143.17
Cameroon,CMR,2015,39702.17
